kind,feature,AUC_override,AUC_model_only,AP,MR_at_5FPR,n_nan
conf,entropy_gibbs_lin_min,0.8156707444053837,0.7587487543726636,0.4210603090357518,58.70844976557659,1392
conf,entropy_gibbs_exp_min,0.8156385904529871,0.7587045164636252,0.4210063524225814,58.70844976557659,1392
conf,entropy_tsallis_lin_min,0.8152097134923942,0.7581144608543668,0.4243356996636015,57.55576375543961,1392
conf,entropy_renyi_lin_min,0.8152026104289003,0.7581046883488638,0.42410233647673906,57.55576375543961,1392
conf,entropy_tsallis_exp_min,0.8151621718240349,0.7580490522857877,0.42435072828650927,57.6314237184544,1392
conf,entropy_renyi_exp_min,0.8151621718240349,0.7580490522857877,0.42435072828650927,57.6314237184544,1392
conf,temprature_logmax_sum,0.8143421941742865,0.7569209142505062,0.42889144752412767,57.59672923207457,1392
conf,temprature_entropy_sum,0.8013311031247321,0.7390200523208983,0.413532502414059,59.11295281475911,1392
conf,temprature_logmax_min,0.7902770992410386,0.7238117814281875,0.41350431294864676,57.704128690435155,1392
conf,entropy_tsallis_lin_sum,0.7816413787985199,0.7119306225987351,0.3810013854230169,64.72955932101003,1392
conf,entropy_tsallis_lin_mean,0.7794688102422465,0.7089415689052103,0.4046175069800999,59.15960131696296,1392
conf,entropy_gibbs_lin_mean,0.7751693770213138,0.7030263416448399,0.40321647009953343,59.23740866208325,1392
conf,entropy_renyi_lin_mean,0.7705842833910008,0.6967180983393433,0.39838454286438,59.76873228240296,1392
conf,temprature_entropy_mean,0.769472245809905,0.6951881396968349,0.39920766039218786,59.83383503298004,1392
conf,temprature_logmax_mean,0.7689208661842127,0.6944295430109207,0.396422396999545,60.48784327508503,1392
conf,raw_entropy_sum,0.7667736168547961,0.6914753239044725,0.39904809448128364,58.955927253418295,1392
conf,normalized_max_prob_sum,0.7641779890851725,0.6879042187490538,0.37488783988972746,64.41645940349868,1392
conf,entropy_gibbs_exp_mean,0.7625175739562251,0.6856197937261318,0.39049895565186266,60.93245512075423,1392
conf,entropy_renyi_exp_mean,0.7624353234875522,0.6855066322489157,0.39282572555025835,60.17932918839044,1392
conf,entropy_tsallis_exp_mean,0.7608702630398656,0.6833533976832034,0.39074312134919437,60.92949808596018,1392
conf,raw_logmax_sum,0.7424590878876343,0.6580230158492211,0.37754606245918243,61.84597881680158,1392
conf,entropy_gibbs_lin_sum,0.738782151366731,0.6529642292544662,0.3579684458002815,65.90987307206424,1392
conf,temprature_entropy_min,0.7344157922547462,0.646956924309705,0.36535344605557973,63.860560380296796,1392
conf,entropy_renyi_lin_sum,0.7325427617651326,0.6443799797585661,0.35425978227045507,66.0623995424258,1392
conf,raw_entropy_mean,0.7232717703829992,0.6316248052655062,0.35816961898035504,64.50201209639529,1392
conf,raw_entropy_min,0.7212979440399943,0.6289091842077039,0.34592170246331494,67.30157043231502,1392
conf,normalized_max_prob_min,0.7172441332513906,0.6233318881193766,0.3508351416072091,65.75476306790424,1392
conf,raw_logmax_min,0.7171619684704678,0.6232188445327032,0.3510887190030881,65.68898856944084,1392
conf,raw_logmax_mean,0.7103304870388287,0.613819985865379,0.34130548464630356,66.78324361573122,1392
conf,normalized_max_prob_mean,0.7092047980461798,0.6122712453980083,0.34058335799568096,66.90833786396038,1392
conf,entropy_renyi_exp_sum,0.6924469529989281,0.5892155409005064,0.33310782612067963,67.67741336392692,1392
conf,entropy_tsallis_exp_sum,0.6661113514176457,0.5529826096310071,0.32214040679265143,68.52570375740002,1392
conf,entropy_gibbs_exp_sum,0.6481934400537279,0.5283308678077545,0.31755280767630073,68.40699126092385,1392
edit,costed_neglog,0.8809511660761848,0.8485625763330924,0.5411880737998428,41.102362609538346,1504
edit,lev_dist_norm,0.8405939442789339,0.793038481351073,0.4638871501229551,50.85895258690319,1504
edit,lev_dist,0.836811268322777,0.7878342167926499,0.44930163889759855,52.850877016069006,1504
