edit,conf,AUC_override,AUC_model_only,AP,MR_at_5FPR,F1,threshold
costed_neglog,entropy_gibbs_lin_min,0.9087381693178396,0.8867923686365953,0.5611047684887588,40.74669566267971,0.5702853685008823,0.8480032497802416
costed_neglog,entropy_gibbs_exp_min,0.9087305889585446,0.8867819394600874,0.5611500899421048,40.71020901292739,0.5705363586984828,0.8479638943697861
costed_neglog,entropy_tsallis_lin_min,0.9071711508298987,0.8846364401685725,0.5595454034467354,40.80608916274012,0.5698766144340641,0.847958359093981
costed_neglog,entropy_renyi_lin_min,0.9069672711098599,0.8843559392709331,0.5590469447220336,41.07768515162499,0.5680044722927489,0.8474133826209633
costed_neglog,entropy_tsallis_exp_min,0.9069086434009213,0.8842752783548761,0.5589158509360515,41.10184849583183,0.5678376741368867,0.847413277430191
lev_dist_norm,entropy_gibbs_lin_min,0.8738640006664042,0.8388119436621201,0.49326315682486466,49.64117433852845,0.5063534099467918,0.8261982368332006
lev_dist_norm,entropy_gibbs_exp_min,0.8738431063850278,0.8387831969840274,0.4933202104147351,49.64117433852845,0.5063534099467918,0.8261982299693507
lev_dist_norm,entropy_tsallis_exp_min,0.8719591364259863,0.8361912017402863,0.4921929475119759,49.933550803431196,0.504154652846211,0.8322629220368368
lev_dist_norm,entropy_renyi_lin_min,0.8718843670992137,0.8360883329347393,0.4918786850182384,49.909387459224355,0.5043366136703687,0.8325883366994496
lev_dist_norm,entropy_tsallis_lin_min,0.8718736463590426,0.8360735831732586,0.4919411731751533,49.939994361886356,0.5041061224820851,0.8321928767461764
lev_dist,entropy_gibbs_lin_min,0.8673106316056687,0.8297957163308995,0.47998490703356805,52.37744145240478,0.4855195222103515,0.8316316232329318
lev_dist,entropy_gibbs_exp_min,0.8673066771911667,0.8297902757857725,0.4799794584236667,52.37744145240478,0.4855195222103515,0.8316310763744258
lev_dist,entropy_tsallis_exp_min,0.8657014697776239,0.8275818063984799,0.48023906205621514,51.583101767951355,0.4916272393812131,0.8358508841959635
lev_dist,entropy_renyi_lin_min,0.8656822185964378,0.8275553203232475,0.48022498889451504,51.59191132052676,0.4915597724531522,0.8365499338509338
lev_dist,entropy_tsallis_lin_min,0.8656537214063587,0.8275161134448199,0.48014480962614137,51.669369145952956,0.49096631083125436,0.836505194655821
